indicator_name,indicator_code,janitor_version
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,sp_pop_5054_ma_5y
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,sp_pop_4044_ma_5y
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,sp_pop_3034_ma_5y
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,sp_pop_2024_ma_5y
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,sp_pop_1564_ma_zs
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,sp_pop_1519_ma_5y
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,sp_pop_0509_ma_5y
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,sp_pop_0014_ma_zs
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,sp_pop_0004_ma_5y
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,sp_m15_2024_fe_zs
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,sp_dyn_to65_fe_zs
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,sp_dyn_le00_fe_in
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,sp_dyn_conu_zs
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,sp_dyn_amrt_ma
Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,sn_itk_svfi_zs
International migrant stock (% of population),SM.POP.TOTL.ZS,sm_pop_totl_zs
Net migration,SM.POP.NETM,sm_pop_netm
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,sl_uem_totl_zs
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,sl_uem_totl_fe_zs
"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,sl_uem_neet_fe_zs
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,sh_sta_airp_ma_p5
Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,sh_sgr_crsk_zs
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,sh_prg_anem
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,sh_mlr_tret_zs
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,sh_med_phys_zs
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,sh_imm_meas
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,sh_hiv_incd_zs
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,sh_hiv_incd_tl
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,sh_hiv_1524_ma_zs
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,sh_h2o_smdw_ur_zs
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,sh_h2o_basw_ru_zs
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,sh_dyn_ncom_ma_zs
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,sh_dyn_mort
"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,sh_dyn_1519
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,sh_dth_ncom_zs
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,sh_dth_comm_zs
Number of deaths ages 5-9 years,SH.DTH.0509,sh_dth_0509
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,sh_anm_chld_zs
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,sh_alc_pcap_fe_li
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,sg_vaw_goes_zs
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,sg_tim_uwrk_ma
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,sg_dmk_srcr_fn_zs
Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,se_xpd_tert_zs
Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,se_xpd_prim_zs
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,se_xpd_csec_zs
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,se_ter_enrr_fe
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,se_ter_cuat_st_ma_zs
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,se_ter_cuat_ms_fe_zs
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,se_ter_cuat_ba_zs
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,se_sec_uner_lo_ma_zs
"Secondary education, teachers",SE.SEC.TCHR,se_sec_tchr
"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,se_sec_tcaq_up_fe_zs
"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,se_sec_tcaq_lo_fe_zs
"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,se_sec_prog_fe_zs
"School enrollment, secondary (% net)",SE.SEC.NENR,se_sec_nenr
"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,se_sec_enrl_vo_fe_zs
"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,se_sec_enrl_lo_tc_zs
"Secondary education, pupils",SE.SEC.ENRL,se_sec_enrl
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,se_sec_cuat_up_fe_zs
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,se_sec_cuat_lo_zs
"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,se_sec_cmpt_lo_ma_zs
"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,se_prm_uner_ma_zs
"Children out of school, primary",SE.PRM.UNER,se_prm_uner
"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,se_prm_tchr_fe_zs
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,se_prm_tcaq_fe_zs
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,se_prm_prsl_zs
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,se_prm_prs5_ma_zs
"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,se_prm_oenr_ma_zs
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,se_prm_nint_fe_zs
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,se_prm_gint_zs
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,se_prm_enrr_fe
"Primary education, pupils",SE.PRM.ENRL,se_prm_enrl
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,se_prm_cuat_fe_zs
Primary school starting age (years),SE.PRM.AGES,se_prm_ages
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,se_pre_enrr_ma
"Preprimary education, duration (years)",SE.PRE.DURS,se_pre_durs
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,se_enr_prim_fm_zs
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,se_adt_litr_fe_zs
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,se_adt_1524_lt_fe_zs
Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,per_si_allsi_cov_q3_tot
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,per_si_allsi_ben_q1_tot
Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot,per_sa_allsa_cov_q3_tot
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,per_sa_allsa_ben_q1_tot
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),per_lm_alllm.cov_q3_tot,per_lm_alllm_cov_q3_tot
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,per_lm_alllm_ben_q1_tot
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD,dc_dac_czel_cd
"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD,dc_dac_bell_cd
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,cm_mkt_trad_gd_zs
Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,cm_mkt_lcap_cd
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,bx_trf_pwkr_cd
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,bx_klt_dinv_cd_wd
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,bx_gsr_royl_cd
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,bx_gsr_gnfs_cd
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,bx_gsr_ccis_cd
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,bn_trf_curr_cd
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD,bn_kac_eoms_cd
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,bn_fin_totl_cd
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,bm_trf_prvt_cd
"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,bm_gsr_tran_zs
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,bm_gsr_mrch_cd
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,bm_gsr_cmcp_zs
Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,ag_prd_lvsk_xd
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,ag_lnd_trac_zs
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,ag_lnd_prcp_mm
Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,ag_lnd_el5m_zs
Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,ag_lnd_el5m_ru_k2
Arable land (hectares per person),AG.LND.ARBL.HA.PC,ag_lnd_arbl_ha_pc
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,ag_con_fert_zs
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,ny_gsr_nfcy_cn
Gross savings (current LCU),NY.GNS.ICTR.CN,ny_gns_ictr_cn
GNI per capita (constant LCU),NY.GNP.PCAP.KN,ny_gnp_pcap_kn
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,ny_gnp_pcap_cd
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,ny_gnp_mktp_kd_zg
GNI (current US$),NY.GNP.MKTP.CD,ny_gnp_mktp_cd
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,ny_gds_totl_cn
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,ny_gdp_pcap_pp_kd
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,ny_gdp_pcap_kd
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,ny_gdp_mktp_pp_kd
GDP (constant 2015 US$),NY.GDP.MKTP.KD,ny_gdp_mktp_kd
Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,ny_gdp_minr_rt_zs
Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN,ny_gdp_fcst_cn
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,ny_gdp_defl_zs_ad
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,ny_gdp_coal_rt_zs
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,ny_adj_svng_gn_zs
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,ny_adj_nnty_pc_cd
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,ny_adj_nnat_gn_zs
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,ny_adj_dpem_gn_zs
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,ny_adj_dmin_gn_zs
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,ny_adj_dfor_gn_zs
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,ny_adj_aedu_gn_zs
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,nv_srv_totl_kd_zg
"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,nv_srv_empl_kd
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,nv_mnf_mtrn_zs_un
"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN,nv_ind_totl_kn
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,nv_ind_totl_cd
"Manufacturing, value added (constant 2015 US$)",NV.IND.MANF.KD,nv_ind_manf_kd
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,nv_fsm_totl_kn
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,nv_agr_totl_kd_zg
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,nv_agr_empl_kd
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,ne_rsb_gnfs_cn
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,ne_imp_gnfs_kd_zg
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,ne_gdi_totl_zs
Gross capital formation (current LCU),NE.GDI.TOTL.CN,ne_gdi_totl_cn
Changes in inventories (current US$),NE.GDI.STKB.CD,ne_gdi_stkb_cd
Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,ne_gdi_ftot_kd
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN,ne_gdi_fprv_cn
Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,ne_exp_gnfs_kd
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,ne_dab_totl_kn
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,ne_dab_defl_zs
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,ne_con_totl_kd
"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,ne_con_prvt_pp_kd
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,ne_con_prvt_kn
Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,ne_con_prvt_cn
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,ne_con_govt_kd_zg
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,ms_mil_xprt_kd
Military expenditure (current USD),MS.MIL.XPND.CD,ms_mil_xpnd_cd
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,gb_xpd_rsdv_gd_zs
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,fx_own_totl_pl_zs
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,fx_own_totl_60_zs
Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,fs_ast_domo_gd_zs
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,fr_inr_lndp
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,fp_cpi_totl_zg
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,fm_lbl_bmny_gd_zs
Net foreign assets (current LCU),FM.AST.NFRG.CN,fm_ast_nfrg_cn
Total reserves minus gold (current US$),FI.RES.XGLD.CD,fi_res_xgld_cd
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,fd_res_liqu_as_zs
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,fb_cbk_brch_p5
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,er_ptd_totl_zs
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,er_h2o_intr_k3
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,er_h2o_fwin_zs
Total fisheries production (metric tons),ER.FSH.PROD.MT,er_fsh_prod_mt
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,ep_pmp_desl_cd
Population in largest city,EN.URB.LCTY,en_urb_lcty
Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,en_pop_el5m_ru_zs
"Fish species, threatened",EN.FSH.THRD.NO,en_fsh_thrd_no
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,en_co2_etot_zs
Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,en_clc_drsk_xq
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,en_atm_pm25_mc_t3_zs
PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,en_atm_pfcg_kt_ce
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,en_atm_noxe_eg_kt_ce
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,en_atm_meth_kt_ce
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,en_atm_meth_ag_kt_ce
Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,en_atm_ghgo_zg
CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,en_atm_co2e_pp_gd_kd
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,en_atm_co2e_lf_kt
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,en_atm_co2e_gf_kt
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,eg_use_crnw_zs
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,eg_imp_cons_zs
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,eg_elc_rnwx_zs
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,eg_elc_nucl_zs
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,eg_elc_fosl_zs
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,eg_elc_accs_ru_zs
"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,eg_cft_accs_ru_zs
Public and publicly guaranteed debt service (% of GNI),DT.TDS.DPPG.GN.ZS,dt_tds_dppg_gn_zs
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,dt_tds_dect_gn_zs
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,dt_oda_odat_pc_zs
Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS,dt_oda_odat_gi_zs
Net official development assistance and official aid received (constant 2020 US$),DT.ODA.ALLD.KD,dt_oda_alld_kd
"Net official flows from UN agencies, UNWTO (current US$)",DT.NFL.UNWT.CD,dt_nfl_unwt_cd
"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD,dc_dac_canl_cd
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,cm_mkt_trnr
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,cm_mkt_lcap_gd_zs
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,bx_trf_pwkr_cd_dt
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,bx_klt_dinv_wd_gd_zs
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,bx_gsr_totl_cd
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,bx_gsr_insf_zs
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,bx_gsr_ccis_zs
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,bn_trf_kogt_cd
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,bn_klt_dinv_cd
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,bn_gsr_fcty_cd
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,bm_trf_pwkr_cd_dt
"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,bm_gsr_trvl_zs
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,bm_gsr_nfsv_cd
"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,bm_gsr_fcty_cd
Surface area (sq. km),AG.SRF.TOTL.K2,ag_srf_totl_k2
Cereal production (metric tons),AG.PRD.CREL.MT,ag_prd_crel_mt
Land area (sq. km),AG.LND.TOTL.K2,ag_lnd_totl_k2
Forest area (sq. km),AG.LND.FRST.K2,ag_lnd_frst_k2
Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,ag_lnd_el5m_ru_zs
Arable land (% of land area),AG.LND.ARBL.ZS,ag_lnd_arbl_zs
Agricultural land (sq. km),AG.LND.AGRI.K2,ag_lnd_agri_k2
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,vc_ihr_psrc_fe_p5
Battle-related deaths (number of people),VC.BTL.DETH,vc_btl_deth
High-technology exports (current US$),TX.VAL.TECH.CD,tx_val_tech_cd
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,tx_val_mrch_wr_zs
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,tx_val_mrch_r5_zs
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,tx_val_mrch_r1_zs
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,tx_val_mrch_al_zs
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,tx_val_ictg_zs_un
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,tx_uvi_mrch_xd_wd
Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,tm_val_trvl_zs_wt
Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,tm_val_mrch_xd_wd
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,tm_val_mrch_r6_zs
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,tm_val_mrch_r2_zs
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,tm_val_mrch_cd_wt
